t,yt
458,44347.0
459,44347.0
460,44347.0
461,44349.0
462,45518.0
463,45518.0
464,45518.0
465,45518.0
466,45519.0
467,45519.0
468,45520.0
469,45533.0
470,45534.0
471,45534.0
472,45534.0
473,45534.0
474,45535.0
475,45536.0
476,45536.0
477,45536.0
478,45536.0
479,45536.0
480,45538.0
481,45539.0
482,47686.0
483,47689.0
484,47703.0
485,48282.0
486,49895.0
487,49895.0
488,49895.0
489,49895.0
490,49896.0
491,52051.0
492,52074.0
493,52075.0
494,52075.0
495,52232.0
496,52232.0
497,52232.0
498,52233.0
499,52233.0
500,52234.0
501,52234.0
502,52234.0
503,52234.0
504,52234.0
505,52583.0
506,52586.0
507,52587.0
508,52588.0
509,52588.0
510,52599.0
511,52599.0
512,52599.0
513,52599.0
514,52599.0
515,52599.0
516,52599.0
517,52600.0
518,52601.0
519,52603.0
520,52604.0
521,52606.0
522,52607.0
523,52607.0
524,52607.0
525,52609.0
526,52609.0
527,52609.0
528,52609.0
529,52609.0
530,52611.0
531,52611.0
532,52611.0
533,52611.0
534,52611.0
535,52611.0
536,52612.0
537,52612.0
538,52612.0
539,52612.0
540,52613.0
541,52613.0
542,52613.0
543,52613.0
544,52613.0
545,52613.0
546,52613.0
547,52613.0
548,52613.0
549,52613.0
550,52615.0
551,52616.0
552,52616.0
553,52616.0
554,52616.0
555,52616.0
556,52616.0
557,52616.0
558,52616.0
559,52616.0
560,52616.0
561,52616.0
562,52616.0
563,52616.0
564,52616.0
565,52616.0
566,52616.0
567,52616.0
568,52616.0
569,52616.0
570,56996.0
571,56996.0
572,56997.0
573,56997.0
574,56998.0
575,57001.0
576,57003.0
577,57005.0
578,57006.0
579,57007.0
580,57008.0
581,57011.0
582,57011.0
583,57011.0
584,57011.0
585,57012.0
586,57013.0
587,57013.0
588,57014.0
589,57014.0
590,57014.0
591,57014.0
592,57014.0
593,57014.0
594,57014.0
595,57014.0
596,57014.0
597,57014.0
598,57014.0
599,57014.0
600,57014.0
601,57014.0
602,57014.0
603,57014.0
604,57014.0
605,57014.0
606,57014.0
607,57014.0
608,57014.0
609,57014.0
610,57014.0
611,57014.0
612,57014.0
613,57014.0
614,61354.0
615,61354.0
616,61354.0
617,61359.0
618,61359.0
619,61359.0
620,61359.0
621,61359.0
622,61359.0
623,61359.0
624,61359.0
625,61359.0
626,61359.0
627,61359.0
628,61359.0
629,61359.0
630,61359.0
631,61359.0
632,61359.0
633,61359.0
634,61359.0
635,61359.0
636,61360.0
637,61361.0
638,61362.0
639,61362.0
640,61363.0
641,61363.0
642,61363.0
643,61363.0
644,61363.0
645,61363.0
646,61363.0
647,61363.0
648,65650.0
649,65650.0
650,65650.0
651,65650.0
652,65650.0
653,65650.0
654,65650.0
655,65650.0
656,65650.0
657,65650.0
658,65650.0
659,65650.0
660,65650.0
661,65650.0
662,65650.0
663,65650.0
664,65650.0
665,65650.0
666,65650.0
667,65650.0
668,65650.0
669,65650.0
670,65650.0
671,65650.0
672,65650.0
673,65650.0
674,65650.0
675,65650.0
676,65650.0
677,65650.0
678,65650.0
679,65650.0
680,65650.0
681,65650.0
682,69949.0
683,69949.0
684,69949.0
685,69949.0
686,69949.0
687,69958.0
688,69959.0
689,69959.0
690,69959.0
691,69959.0
692,69959.0
693,69959.0
694,69959.0
695,69959.0
696,69969.0
697,69970.0
698,69971.0
699,69971.0
700,69971.0
701,69971.0
702,69971.0
703,69971.0
704,69971.0
705,69971.0
706,69971.0
707,69971.0
708,69972.0
709,69972.0
710,69972.0
711,69972.0
712,69972.0
713,69972.0
714,69972.0
715,69972.0
716,74260.0
717,74260.0
718,74260.0
719,74260.0
720,74260.0
721,74260.0
722,74260.0
723,74260.0
724,74260.0
725,74260.0
726,74260.0
727,74260.0
728,74260.0
729,74260.0
730,74260.0
731,74260.0
732,74260.0
733,74260.0
734,74260.0
735,74260.0
736,74260.0
737,74260.0
738,74261.0
739,74262.0
740,74263.0
741,74263.0
742,74263.0
743,74264.0
744,78551.0
745,78551.0
746,78551.0
747,78551.0
748,78551.0
749,78551.0
750,78552.0
751,78556.0
752,78556.0
753,78556.0
754,78556.0
755,78556.0
756,78556.0
757,78557.0
758,78557.0
759,78558.0
760,78558.0
761,78558.0
762,78559.0
763,78560.0
764,78560.0
765,78560.0
766,78565.0
767,78568.0
768,78569.0
769,78583.0
770,78602.0
771,78675.0
772,78679.0
773,78685.0
774,78688.0
775,78692.0
776,78695.0
777,78699.0
778,78702.0
779,78706.0
780,78716.0
781,78720.0
782,78727.0
783,78737.0
784,79209.0
785,79698.0
786,79702.0
787,79704.0
788,79713.0
789,79715.0
790,79721.0
791,79725.0
792,79729.0
793,79732.0
794,79736.0
795,79740.0
796,79765.0
797,79772.0
798,79782.0
799,79844.0
800,79857.0
801,79872.0
802,79881.0
803,79884.0
804,79891.0
805,79894.0
806,79898.0
807,79901.0
808,79904.0
809,79908.0
810,79911.0
811,79917.0
812,80895.0
813,80914.0
814,80919.0
815,80930.0
816,80933.0
817,81062.0
818,81076.0
819,81079.0
820,81083.0
821,81087.0
822,81090.0
823,81094.0
824,81100.0
825,82437.0
826,82454.0
827,82459.0
828,82463.0
829,82467.0
830,82474.0
831,82478.0
832,82482.0
833,82485.0
834,82489.0
835,82491.0
836,82498.0
837,82502.0
838,82505.0
839,82510.0
840,82515.0
841,82522.0
842,82965.0
843,84119.0
844,84135.0
845,84200.0
846,85072.0
847,85405.0
848,85409.0
849,85411.0
850,85413.0
851,85416.0
852,85418.0
853,85421.0
854,85424.0
855,85428.0
856,85431.0
857,85435.0
858,85440.0
859,85454.0
860,85461.0
861,85517.0
862,85676.0
863,85928.0
864,86229.0
865,86595.0
866,87040.0
867,87503.0
868,87507.0
869,87511.0
870,87514.0
871,87518.0
872,87522.0
873,87525.0
874,87529.0
875,87534.0
876,87537.0
877,87548.0
878,87551.0
879,87555.0
880,87558.0
881,87562.0
882,87566.0
883,87569.0
884,87574.0
885,87577.0
886,87580.0
887,87584.0
888,87587.0
889,91876.0
890,91885.0
891,91898.0
892,91902.0
893,91906.0
894,91912.0
895,91921.0
896,91924.0
897,91928.0
898,91932.0
899,91938.0
900,91942.0
901,91945.0
902,91950.0
903,91954.0
904,91959.0
905,91963.0
906,91967.0
907,91972.0
908,91988.0
909,91992.0
910,91995.0
911,91999.0
912,92002.0
913,92006.0
914,92010.0
915,92013.0
916,92017.0
917,92021.0
918,92024.0
919,92028.0
920,92031.0
921,94280.0
922,96330.0
923,96333.0
924,96337.0
925,96341.0
926,96344.0
927,96348.0
928,96352.0
929,96355.0
930,96359.0
931,96362.0
932,96366.0
933,96370.0
934,96373.0
935,96377.0
936,96382.0
937,96385.0
938,96389.0
939,96392.0
940,96396.0
941,96402.0
942,96406.0
943,96408.0
944,96412.0
945,96415.0
946,96419.0
947,96423.0
948,96426.0
949,96429.0
950,96433.0
951,96436.0
952,96440.0
953,96443.0
954,96447.0
955,96450.0
956,96456.0
957,100744.0
958,100747.0
959,100751.0
960,100755.0
961,100758.0
962,100761.0
963,100764.0
964,100768.0
965,100771.0
966,100774.0
967,100778.0
968,100781.0
969,100784.0
970,100787.0
971,100791.0
972,100794.0
973,100801.0
974,100806.0
975,100809.0
976,100814.0
977,100817.0
978,100821.0
979,100824.0
980,100827.0
981,100832.0
982,100835.0
983,100838.0
984,100842.0
985,100847.0
986,100850.0
987,100853.0
988,100857.0
989,100860.0
990,100863.0
991,100866.0
992,100870.0
993,100873.0
994,100877.0
995,100880.0
996,100883.0
997,100886.0
998,100890.0
999,100893.0
