t,yt
276,937.7099609
277,937.9306641
278,938.1162109
279,938.3134766
280,938.5107422
281,989.7246094
282,989.9589844
283,990.0712891
284,990.0712891
285,990.2939453
286,990.3486328
287,990.4580078
288,991.8476563
289,991.9570313
290,991.9570313
291,1043.163086
292,1043.217773
293,1043.275391
294,1043.455078
295,1043.455078
296,1043.455078
297,1043.564453
298,1043.676758
299,1096.824219
300,1097.116211
301,1097.591797
302,1098.067383
303,1098.067383
304,1098.234375
305,1098.34375
306,1098.34375
307,1098.398438
308,1098.520508
309,1098.700195
310,1098.700195
311,1098.700195
312,1098.754883
313,1098.8125
314,1098.876953
315,1099.579102
316,1099.633789
317,1099.688477
318,1099.743164
319,4.014648438
320,4.194335938
321,4.194335938
322,4.249023438
323,4.42578125
324,4.483398438
325,4.958984375
326,5.379882813
327,5.434570313
328,5.434570313
329,8.896484375
330,9.119140625
331,9.298828125
332,9.353515625
333,9.672851563
334,9.73046875
335,9.73046875
336,9.73046875
337,9.78515625
338,0
339,0.112304688
340,0.112304688
341,0.112304688
342,0
343,0.0546875
344,2.524414063
345,7.91796875
346,18.11425781
347,19.66699219
348,20.4375
349,21.66503906
350,21.66503906
351,21.66503906
352,21.71972656
353,21.84179688
354,0
355,0
356,0.0546875
357,0.768554688
358,0.768554688
359,2.776367188
360,2.831054688
361,2.831054688
362,3.076171875
363,3.076171875
364,3.133789063
365,3.174804688
366,3.215820313
367,3.311523438
368,3.352539063
369,35.87988281
370,35.98925781
371,36.31542969
372,36.69628906
373,43.10058594
374,48.16210938
375,59.29785156
376,60.55566406
377,61.67675781
378,139766.0732
379,139767.3184
380,139768.9238
381,139787.2754
382,139796.5518
383,139805.5234
384,139826.6387
385,139880.9443
386,139905.873
387,139916.6221
388,139926.8086
389,139936.5352
390,139945.5342
391,139955.0654
392,139964.8018
393,139974.3613
394,139983.4023
395,139993.2461
396,140002.5293
397,140012.1201
398,140021.1074
399,140030.8594
400,140039.8711
401,140048.9951
402,140058.0371
403,140067.0029
404,140076.001
405,140084.8486
406,140104.6865
407,140123.082
408,140145.3604
409,140165.9854
410,140188.2236
411,140210.0049
412,140235.0254
413,140256.9814
414,140279.8311
415,140302.4453
416,140325.5898
417,140347.7471
418,140370.5469
419,140392.2783
420,140414.4189
421,140439.835
422,140464.7666
423,140489.8525
424,140514.9697
425,140542.1426
426,0
427,26.21191406
428,49.5703125
429,73.98632813
430,100.4003906
431,127.0751953
432,153.0673828
433,178.4882813
434,208.0224609
435,235.4355469
436,260.3808594
437,285.2861328
438,309.3544922
439,334.65625
440,361.5400391
441,389.3476563
442,417.5
443,443.0888672
444,0
445,26.29492188
446,51.93164063
447,77.890625
448,103.5224609
449,130.2832031
450,157.4951172
451,188.0644531
452,220.0957031
453,252.0449219
454,285.3251953
455,317.5751953
456,352.953125
457,386.1308594
458,419.0292969
459,455.6943359
460,491.984375
461,528.15625
462,560.4970703
463,594.1123047
464,628.3115234
465,662.9326172
466,698.2226563
467,733.5693359
468,0
469,36.12304688
470,77.95214844
471,117.7958984
472,155.7851563
473,194.2539063
474,229.8964844
475,266.8359375
476,302.1591797
477,340.8115234
478,378.6396484
479,0
480,0
481,31.93164063
482,63.26757813
483,0
484,33.48535156
485,68.09765625
486,101.7011719
487,134.6757813
488,164.328125
489,222.9912109
490,252.0224609
491,283.6806641
492,317.5683594
493,351.8496094
494,385.1162109
495,417.6044922
496,448.5976563
497,139799.4736
498,139832.0146
499,139864.4512
500,0
501,32.00976563
502,67.86816406
503,101.4179688
504,138.2666016
505,174.4169922
506,212.7314453
507,254.5351563
508,292.9765625
509,329.4951172
510,368.4316406
511,407.7050781
512,442.875
513,495.4169922
514,696.8115234
515,732.9667969
516,767.6962891
517,800.6904297
518,836.6171875
519,871.1767578
520,903.0771484
521,938.1972656
522,969.3808594
523,1005.589844
524,1040.209961
525,1075.287109
526,1111.834961
527,1148.526367
528,1182.194336
529,1215.077148
530,1246.912109
531,1276.72168
532,1309.176758
533,1340.918945
534,1373.244141
535,1404.185547
536,1433.648438
537,1466.626953
538,1499.370117
539,1533.980469
540,1567.923828
541,1606.012695
542,1642.677734
543,1682.537109
544,1723.350586
545,1761.772461
546,1797.944336
547,1834.599609
548,1875.039063
549,1920.150391
550,1961.103516
551,2003.250977
552,2043.785156
553,2086.962891
554,2173.90918
555,2214.393555
