t,yt
0,0.0
1,0.0
2,0.0
3,1764.0
4,1764.0
5,1764.0
6,3724.0
7,3726.0
8,5296.0
9,5296.0
10,5297.0
11,5297.0
12,6979.0
13,6979.0
14,5496.0
15,5497.0
16,7189.0
17,7189.0
18,7302.0
19,8676.0
20,8676.0
21,10638.0
22,10638.0
23,10638.0
24,10638.0
25,10638.0
26,11384.0
27,12788.0
28,12789.0
29,12789.0
30,14792.0
31,14792.0
32,14793.0
33,16011.0
34,16141.0
35,16141.0
36,17990.0
37,17990.0
38,19660.0
39,0.0
40,0.0
41,0.0
42,1691.0
43,1691.0
44,1691.0
45,1692.0
46,1692.0
47,2315.0
48,3399.0
49,3399.0
50,3399.0
51,3399.0
52,4962.0
53,4963.0
54,4963.0
55,4963.0
56,4964.0
57,6354.0
58,6354.0
59,6979.0
60,6979.0
61,9114.0
62,9114.0
63,9114.0
64,9114.0
65,10819.0
66,10819.0
67,10819.0
68,10820.0
69,0.0
70,0.0
71,1671.0
72,1675.0
73,1675.0
74,1675.0
75,3380.0
76,3380.0
77,6354.0
78,6354.0
79,6354.0
80,6361.0
81,8066.0
82,0.0
83,0.0
84,0.0
85,1626.0
86,1626.0
87,1627.0
88,1627.0
89,1627.0
90,3320.0
91,3320.0
92,3320.0
93,3320.0
94,3320.0
95,3321.0
96,3321.0
97,3321.0
98,6101.0
99,8657.0
100,10068.0
101,12887.0
102,19954.0
103,19954.0
104,21722.0
105,21776.0
106,23571.0
107,23920.0
108,26071.0
109,26071.0
110,26071.0
111,26138.0
112,32602.0
113,32602.0
114,33349.0
115,39502.0
116,40947.0
117,41009.0
118,46011.0
119,46012.0
120,46300.0
121,46357.0
122,48218.0
123,49545.0
124,51447.0
125,51447.0
126,60435.0
127,60435.0
128,60958.0
129,67177.0
130,67177.0
131,70708.0
132,70802.0
133,71124.0
134,74072.0
135,76570.0
136,76888.0
137,77874.0
138,77874.0
139,79625.0
140,79625.0
141,79625.0
142,81285.0
143,6979.0
144,8500.0
145,10819.0
146,11876.0
147,12468.0
148,12468.0
149,14487.0
150,14487.0
151,14487.0
152,16194.0
153,16194.0
154,16195.0
155,17886.0
156,17886.0
157,19582.0
158,19582.0
159,19684.0
160,21269.0
161,21269.0
162,22870.0
163,22870.0
164,25032.0
165,25032.0
166,4963.0
167,0.0
168,0.0
169,0.0
170,1717.0
171,1717.0
172,3432.0
173,3432.0
174,5093.0
175,5093.0
176,5093.0
177,6739.0
178,0.0
179,2197.0
180,2197.0
181,3899.0
182,3900.0
183,3900.0
184,3900.0
185,5617.0
186,5617.0
187,7190.0
188,7190.0
189,8853.0
190,8853.0
191,10564.0
192,0.0
193,0.0
194,624.0
195,626.0
196,626.0
197,2290.0
198,2290.0
199,2290.0
200,2290.0
201,2290.0
202,3992.0
203,3992.0
204,3992.0
205,3993.0
206,4465.0
207,6146.0
208,6148.0
209,6148.0
210,6148.0
211,6148.0
212,6148.0
213,6148.0
214,8303.0
215,8303.0
216,8303.0
217,1627.0
218,1627.0
219,1679.0
220,4190.0
221,4190.0
222,4190.0
223,4190.0
224,4190.0
225,4190.0
226,5893.0
227,5893.0
228,5893.0
229,5893.0
230,0.0
231,1637.0
232,1637.0
233,1637.0
234,1637.0
235,1637.0
236,3330.0
237,3330.0
238,3330.0
239,3330.0
240,5046.0
241,5046.0
242,5046.0
243,5046.0
244,5046.0
245,5046.0
246,6663.0
247,0.0
248,0.0
249,0.0
250,0.0
251,2168.0
252,2169.0
253,2169.0
254,2169.0
255,624.0
256,2307.0
257,2308.0
258,2311.0
259,0.0
260,0.0
261,1596.0
262,1596.0
263,1596.0
264,77874.0
265,77875.0
266,79566.0
267,79566.0
268,79566.0
269,79566.0
270,81262.0
271,81262.0
272,81262.0
273,81262.0
274,81262.0
275,81262.0
276,82942.0
277,82942.0
278,82942.0
279,82942.0
280,83153.0
281,85092.0
282,85093.0
283,85105.0
284,85105.0
285,86782.0
286,86782.0
287,86782.0
288,86782.0
289,86782.0
290,86782.0
291,88496.0
292,88496.0
293,88496.0
294,88496.0
295,88496.0
296,90264.0
297,90264.0
298,90264.0
299,90264.0
300,90264.0
301,91982.0
302,91982.0
303,91982.0
304,91982.0
305,93679.0
306,93681.0
307,93681.0
308,10638.0
309,10638.0
310,12906.0
311,12906.0
312,12906.0
313,12906.0
314,12906.0
315,12906.0
316,14665.0
317,14665.0
318,14665.0
319,14665.0
320,14665.0
321,14667.0
322,14668.0
323,14668.0
324,16363.0
325,16363.0
326,16364.0
327,16364.0
328,16364.0
329,18516.0
330,18516.0
331,18516.0
332,18516.0
333,18516.0
334,18516.0
335,0.0
336,0.0
337,2152.0
338,2152.0
339,2152.0
340,2152.0
341,2152.0
342,2393.0
343,3921.0
344,3922.0
345,3922.0
346,3922.0
347,3922.0
348,3923.0
349,4871.0
350,5565.0
351,5566.0
352,5566.0
353,5566.0
354,7681.0
355,7681.0
356,7683.0
357,7683.0
358,7683.0
359,9337.0
360,9337.0
361,1764.0
362,1765.0
363,1765.0
364,3305.0
365,3305.0
366,3305.0
367,3305.0
368,3305.0
369,4784.0
370,4784.0
371,4784.0
372,4784.0
373,4784.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,1.0
382,2203.0
383,2203.0
384,2203.0
385,2203.0
386,2203.0
387,2204.0
388,3580.0
389,3580.0
390,3580.0
391,91982.0
392,91982.0
393,93666.0
394,93666.0
395,93666.0
396,93666.0
397,93666.0
398,95371.0
399,95371.0
400,95371.0
401,95371.0
402,95382.0
403,97125.0
404,97203.0
405,97203.0
406,97279.0
407,97349.0
408,99053.0
409,99118.0
410,99118.0
411,99193.0
412,99253.0
413,101383.0
414,101383.0
415,101383.0
416,101383.0
417,101526.0
418,102697.0
419,102697.0
420,102698.0
421,102698.0
422,102698.0
423,104312.0
424,104312.0
425,104313.0
426,104313.0
427,1717.0
428,3588.0
429,3590.0
430,3591.0
431,3592.0
432,3592.0
433,3592.0
434,3592.0
435,3592.0
436,3592.0
437,3592.0
438,3856.0
439,6748.0
440,11502.0
441,12460.0
442,13270.0
443,13566.0
444,15193.0
445,15193.0
446,16890.0
447,0.0
448,0.0
449,1713.0
450,1713.0
451,3412.0
452,3413.0
453,3870.0
454,5251.0
455,5251.0
456,7405.0
457,7405.0
458,7405.0
459,7405.0
460,7754.0
461,9157.0
462,9157.0
463,10584.0
464,10584.0
465,10584.0
466,12241.0
467,12241.0
468,12846.0
469,12846.0
470,14998.0
471,3322.0
472,3322.0
473,82942.0
474,82942.0
475,84843.0
476,84843.0
477,84843.0
478,86165.0
479,86165.0
480,86165.0
481,87752.0
482,87753.0
483,89098.0
484,89098.0
485,90692.0
486,90692.0
487,91284.0
488,92745.0
489,92745.0
490,92745.0
491,94452.0
492,94453.0
493,95771.0
494,95772.0
495,97065.0
